Alta Ribagorça;16620;163;1139;16;17759;32436
Alt Camp;85092;545;783;27;85875;332190
Alt Empordà;49784;514;4538;60;54322;931782
Alt Penedès;1468;31;13;1;1482;525256
Alt Urgell;71310;622;10153;115;81463;125829
Anoia;17526;160;1199;32;18724;634612
Bages;181153;1553;6024;94;187177;678975
Baix Camp;102485;1153;2034;31;104519;770495
Baix Ebre;75329;661;649;16;75978;454743
Baix Empordà;137490;1097;16058;149;153549;975522
Baix Llobregat;101081;907;1162;15;102242;1763305
Baix Penedès;2858;58;38;2;2896;713266
Barcelonès;3395;60;300;8;3696;1270739
Berguedà;77788;650;8980;86;86768;168393
Cerdanya;72660;548;5512;59;78172;197240
Conca de Barberà;44257;493;1494;35;45751;140135
Garraf;1648;35;0;0;1648;570440
Garrigues;30082;290;773;14;30855;128288
Garrotxa;45857;401;3343;22;49200;256855
Gironès;30444;203;1261;21;31705;612753
Maresme;148508;1259;10715;110;159224;1331276
Moianès;14278;147;301;3;14578;129088
Montsià;31872;280;654;5;32526;345095
Noguera;78081;784;6050;97;84131;254545
Osona;126039;1196;8038;98;134077;725011
Pallars Jussà;53563;562;7954;111;61518;106105
Pallars Sobirà;23806;303;8979;126;32784;73941
Pla de l'Estany;11463;97;7164;80;18627;154463
Pla d'Urgell;54949;491;70;1;55019;227319
Priorat;46692;463;286;5;46978;79101
Ribera d'Ebre;30809;342;476;12;31285;129430
Ripollès;53519;425;2469;13;55988;140056
Segarra;65283;766;1192;13;66475;164184
Segrià;150836;1103;2909;33;153745;611104
Selva;81856;580;812;10;82668;986266
Solsonès;28471;237;953;24;29424;80404
Tarragonès;87243;876;1255;17;88497;910239
Terra Alta;22399;207;777;17;23176;81212
Urgell;51536;577;385;8;51921;199168
Val d'Aran;31166;359;4684;74;35851;68544
Vallès Occidental;236114;2269;9381;63;245494;2292523
Vallès Oriental;165927;1452;5722;64;171649;1723025
